"","ID","TIME_ABSOLUTE","TIME_ELAPSED","X","Y","Z","U_Seeb","U_Seeb_StdDev","T_Probe","T_Sample","dT","X.","X._StdDev","T01...Column","T02...Room","T03...Device","std_dev_ID","std_dev_TIME_ABSOLUTE","std_dev_TIME_ELAPSED","std_dev_X","std_dev_Y","std_dev_Z","std_dev_U_Seeb","std_dev_U_Seeb_StdDev","std_dev_T_Probe","std_dev_T_Sample","std_dev_dT","std_dev_X.","std_dev_X._StdDev","std_dev_T01...Column","std_dev_T02...Room","std_dev_T03...Device"
"25",23,"2021.12.01 18:09:48",822.90446,1.35,0.15,-3.48,1.10414,0.0035884,36.55462,26.88818,6,184.01972,0.59808,27.738,23.31796,26.81504,0,NA,9.61980676432744,0,0,0,0.00997812607657368,0.00125077767808672,0.046465223554825,0.0328942548175208,0,1.6658212169978,0.208446748595415,0.0495019191547165,0.0340131298177626,0.0333814768996222
"26",24,"2021.12.01 18:09:48",857.9828,1.5,0.15,-3.48,1.10736,0.0034058,36.57182,26.89792,6,184.5623,0.5676,27.65778,23.27628,26.76674,0,NA,9.14460124116957,0,0,0,0.0119102057077113,0.00102318947414445,0.0230410937240408,0.0223624014810572,0,1.98413241367606,0.170505175874517,0.0470120941886232,0.0499380315991736,0.0182942067332803
"27",25,"2021.12.01 18:09:48",891.2577,1.65,0.15,-3.48,1.12892,0.0055256,36.56788,26.8947,6,188.153,0.9209,27.61076,23.35526,26.76142,0,NA,8.5054750990171,0,0,0,0.0178288249753033,0.00150885314063364,0.0315069357443721,0.020011371767073,0,2.97023681294944,0.251440201638481,0.0238417281252843,0.0651150366658884,0.0354099844676608
"28",26,"2021.12.01 18:09:48",923.70586,1.8,0.15,-3.48,1.13078,0.0039318,36.58572,26.89292,6,188.46438,0.65532,27.58694,23.29724,26.7569,0,NA,8.5057190356254,0,0,0,0.0109930432547135,0.00133375005154639,0.0406678251201116,0.0205440258956224,0,1.83288754892383,0.222283280972726,0.0589090230779641,0.0290129798538523,0.103154520017303
"29",27,"2021.12.01 18:09:48",956.37576,1.95,0.15,-3.48,1.1293,0.0092316,36.56046,26.88296,6,188.21694,1.5388,27.56816,23.28642,26.74872,0,NA,8.87421490121801,0,0,0,0.0184458667456967,0.00244287224389652,0.0149069782316865,0.0244941421568514,0,3.07791304344356,0.407545948329756,0.064945923659612,0.0855741900341446,0.0519133605153823
"30",28,"2021.12.01 18:09:48",990.24352,0,0.3,-3.48,1.1192,0.0056584,36.52644,26.8782,6,186.53398,0.94296,27.52952,23.32706,26.75866,0,NA,8.99090355064497,0,0,0,0.0113262968352415,0.00161146479949144,0.0262349575947815,0.0273963501218674,0,1.88306134180489,0.268364943686764,0.0337881192137116,0.0543223066520566,0.0430387964515733
"31",29,"2021.12.01 18:09:48",1023.66832,0.15,0.3,-3.48,1.11758,0.0040588,36.5479,26.89062,6,186.265,0.67654,27.49268,23.25972,26.71754,0,NA,8.64901678701112,0,0,0,0.0130219814160519,0.00191291000833808,0.0352104387930611,0.0160971115421361,0,2.16696941948889,0.318907279628421,0.0439755841348349,0.0738750769881153,0.0535940575064069
"32",30,"2021.12.01 18:09:48",1066.86814,0.3,0.3,-3.48,1.17198,0.0071252,36.55204,26.87302,6,195.32554,1.1876,27.45102,23.28542,26.7692,0,NA,16.5697990249731,0,0,0,0.033452458803502,0.00389031119577856,0.0409281443508027,0.0163522781287497,0,5.57540082577029,0.648594865844619,0.0339351145570478,0.0468196219549029,0.0400563977411839
"33",31,"2021.12.01 18:09:48",1111.9409,0.45,0.3,-3.48,1.1987,0.0050976,36.54572,26.88276,6,199.78628,0.84958,27.39706,23.30414,26.764,0,NA,13.5368254323161,0,0,0,0.0547388344779097,0.00168727599994785,0.0325965028799106,0.0108366507741094,0,9.1214632319601,0.281204786587995,0.0366989509386849,0.0507997342512729,0.0188187406592476
"34",32,"2021.12.01 18:09:48",1154.10146,0.6,0.3,-3.48,1.21166,0.0096754,36.55012,26.8677,6,201.94598,1.61254,27.33726,23.3135,26.7555,0,NA,13.0434527567665,0,0,0,0.0476206152837193,0.00376768241761431,0.0161287631267872,0.0224069185744048,0,7.93815027427675,0.627994711761174,0.0603022221812768,0.0263768838189806,0.0617751972882325
